,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,stop_x,stop_y
0,HANMAIN,36,HANSON ST & E MAIN ST,,39.956666,-82.77903,,,,,,0,1143668.9879242096,377890.55584668135
1,MOUWAYW,54,W MOUND ST & S WAYNE AVE,,39.938547,-83.062991,,,,,,0,1119378.3449812022,375419.94647470594
2,MOREASS,281,MORSE CROSSING & EASTON WAY,,40.048117,-82.920331,,,,,,0,1131371.2290306618,387774.1676270432
3,SOUTER4,411,COTA TRANSIT TERMINAL BAY 4,COTA SOUTH TERMINAL NORTHBOUND PATH & E RICH ST,39.957159,-82.999083,,,,,,0,1124817.3830879775,377577.62323713116
4,SOUTER7,427,COTA TRANSIT TERMINAL BAY 7,COTA SOUTH TERMINAL SOUTHBOUND PATH & E MAIN ST,39.956582,-82.998852,,,,,,0,1124838.3299921323,377514.09977445495
5,NORTER2,429,SPRING ST TERMINAL BAY 2,COTA NORTH TERMINAL ENTRANCE SVC & W SPRING ST,39.965888,-83.002424,,,,,,0,1124513.6962117106,378538.8753283728
6,NORTER3,440,SPRING ST TERMINAL BAY 3,COTA NORTH TERMINAL ENTRANCE SVC & W SPRING ST,39.965808,-83.002412,,,,,,0,1124514.8842424466,378530.0366255428
7,SOUTER9,454,COTA TRANSIT TERMINAL BAY 9,COTA SOUTH TERMINAL SOUTHBOUND PATH & E MAIN ST,39.956385,-82.998815,,,,,,0,1124841.8950784553,377492.34652123856
8,NORTER4,455,SPRING ST TERMINAL BAY 4,COTA NORTH TERMINAL ENTRANCE SVC & W SPRING ST,39.965718,-83.002388,,,,,,0,1124517.1201451279,378520.1093521287
9,SOUTER3,467,COTA TRANSIT TERMINAL BAY 3,COTA SOUTH TERMINAL SOUTHBOUND PATH & E RICH ST,39.957014,-82.998932,,,,,,0,1124830.6096143217,377561.80413750757
10,SOUTER6,478,COTA TRANSIT TERMINAL BAY 6,COTA SOUTH TERMINAL NORTHBOUND PATH & E MAIN ST,39.956947,-82.999042,,,,,,0,1124821.3208503737,377554.2154474391
11,SOUTER8,498,COTA TRANSIT TERMINAL BAY 8,COTA SOUTH TERMINAL NORTHBOUND PATH & E MAIN ST,39.956731,-82.998992,,,,,,0,1124826.0376596719,377530.37878746015
12,NORTER1,525,SPRING ST TERMINAL BAY 1,COTA NORTH TERMINAL ENTRANCE SVC & W SPRING ST,39.965968,-83.002436,,,,,,0,1124512.5081835946,378547.71403259796
13,NORTER5,568,SPRING ST TERMINAL BAY 5,COTA NORTH TERMINAL ENTRANCE SVC & W SPRING ST,39.965638,-83.002376,,,,,,0,1124518.3081825867,378511.2706524186
14,TECAEPE,932,TECHCENTER DR & AEP,TECH CENTER DR & AEP,39.999869,-82.853016,,,,,,0,1137235.7663459368,382544.4322519072
15,HIGHOSS,1059,S HIGH ST & HOSACK ST,,39.92302,-82.995545,,,,,,0,1125189.1457104478,373803.555543878
16,LIVBULW,1086,E LIVINGSTON AVE & BULEN AVE,,39.948836,-82.951647,,,,,,0,1128898.2384377427,376731.02331485937
17,CLEMOUN,1089,CLEVELAND AVE & MOUNT VERNON AVE,,39.969554,-82.99037,,,,,,0,1125538.7615379682,378963.51078262867
18,CLEJACN,1091,CLEVELAND AVE & JACK GIBBS BLVD,,39.972493,-82.990132,,,,,,0,1125553.2111651485,379289.27921414154
19,CLE2NDN,1094,CLEVELAND AVE & E 2ND AVE,,39.982199,-82.989389,,,,,,0,1125597.235549808,380365.06862808426
20,CLESHON,1098,CLEVELAND AVE & SHOEMAKER AVE,,39.988178,-82.987305,,,,,,0,1125763.5933580047,381030.31841022614
21,CLECAMN,1099,CLEVELAND AVE & CAMDEN AVE,,39.990831,-82.984583,,,,,,0,1125991.2803449105,381328.3216852152
22,CLE11TN,1100,CLEVELAND AVE & E 11TH AVE,,39.993413,-82.981879,,,,,,0,1126217.5503772772,381618.4443569251
23,CLECHIN,1101,CLEVELAND AVE & CHITTENDEN AVE,,39.995615,-82.979577,,,,,,0,1126410.1580080967,381865.8693734467
24,CLEWINN,1102,CLEVELAND AVE & WINDSOR AVE,,39.997133,-82.977974,,,,,,0,1126544.3034899563,382036.46652244346
25,CLE15TN,1103,CLEVELAND AVE & E 15TH AVE,,39.998468,-82.976803,,,,,,0,1126641.8324844926,382186.1239293623
26,CLE17TN,1104,CLEVELAND AVE & E 17TH AVE,,40.000675,-82.975318,,,,,,0,1126764.458834661,382432.827668749
27,RIDREDW,1105,RIDGECLIFF RD & REDDING RD,,40.023016,-83.070025,,,,,,0,1118614.310705535,384761.9816430337
28,CLE19TN,1106,CLEVELAND AVE & E 19TH AVE,,40.002498,-82.974205,,,,,,0,1126856.015997997,382636.4299708967
29,CLEDUXN,1110,CLEVELAND AVE & DUXBERRY AVE,,40.008692,-82.970345,,,,,,0,1127173.7648939055,383328.3463940009
30,CLECORN,1111,CLEVELAND AVE & CORDELL AVE,,40.011141,-82.968854,,,,,,0,1127296.3681848338,383601.8684219328
31,CLEHUDN,1113,CLEVELAND AVE & E HUDSON ST,,40.014283,-82.966885,,,,,,0,1127458.450367956,383952.8834598528
32,CLEREPN,1114,CLEVELAND AVE & REPUBLIC AVE,,40.015552,-82.966119,,,,,,0,1127521.4047727261,384094.6076248521
33,CLEGENN,1116,CLEVELAND AVE & GENESSEE AVE,,40.019403,-82.964917,,,,,,0,1127616.3666556422,384522.91654131724
34,CLEWEBN,1118,CLEVELAND AVE & E WEBER RD,,40.022961,-82.964612,,,,,,0,1127635.1580033172,384917.36206709535
35,CLELAKN,1119,CLEVELAND AVE & E LAKEVIEW AVE,,40.025778,-82.964395,,,,,,0,1127647.938912931,385229.62197403715
36,CLENORBN,1122,CLEVELAND AVE & E NORTH BROADWAY,,40.029775,-82.964074,,,,,,0,1127667.1916798926,385672.70633902005
37,CLEOAKN,1123,CLEVELAND AVE & OAKLAND PARK AVE,,40.031028,-82.963947,,,,,,0,1127675.4828044213,385811.64919676515
38,CLEHUYN,1124,CLEVELAND AVE & HUY RD,,40.035966,-82.962985,,,,,,0,1127747.6375746364,386359.95116732025
39,INNDERE,1125,INNIS RD & DERBYSHIRE DR,,40.037124,-82.958278,,,,,,0,1128147.9613273023,386495.6670019829
40,INNUSPW,1127,INNIS RD & US POSTAL SERVICE,2200 INNIS RD,40.037179,-82.955294,,,,,,0,1128403.1424024054,386506.5191284132
41,CLEHUYS,1132,CLEVELAND AVE & HUY RD,CLEVELAND AVE & CLEVELAND INNIS PLZ,40.035916,-82.963297,,,,,,0,1127721.0468403392,386353.91894854873
42,CLEOAKS,1134,CLEVELAND AVE & OAKLAND PARK AVE,,40.03154,-82.964134,,,,,,0,1127658.4301930305,385868.04457717075
