shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
2,43.100466,-89.35407,1
2,43.094058,-89.362203,2
2,43.087586,-89.373383,3
2,43.076694,-89.389003,4
2,43.073183,-89.394014,5
2,43.073339,-89.400752,6
2,43.073183,-89.409034,7
2,43.070048,-89.409206,8
2,43.067728,-89.412681,9
1,43.067728,-89.412681,1
1,43.070048,-89.409206,2
1,43.073183,-89.409034,3
1,43.073339,-89.400752,4
1,43.073183,-89.394014,5
1,43.076694,-89.389003,6
1,43.087586,-89.373383,7
1,43.094058,-89.362203,8
1,43.100466,-89.35407,9
