STATE,COUNTY,TRACT,BLKGRP,geometry,NAME,B02001_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B25044_001E,Tot Pop,% White alone,% Black or African American alone,% American Indian and Alaska Native alone,% Asian alone alone,% Native Hawaiian and Other Pacific Islander alone,cars per capita
39,097,040102,2,"POLYGON ((-83.33441200002815 40.0629609998678, -83.33189399982888 40.06247999996555, -83.32450800035889 40.06402499999404, -83.32474699983517 40.05923499980212, -83.32271599970761 40.04544000027581, -83.30716700026767 40.04692700021306, -83.28046499975709 40.04361999965662, -83.26387000020367 40.04295299988968, -83.26374800000494 40.04179700009756, -83.25507399967383 40.04135000017816, -83.25247600000692 40.04058899994517, -83.25489499957368 40.04268199990599, -83.25564699995927 40.04552299974796, -83.25505100010761 40.04861399983259, -83.25383000009197 40.04921799991069, -83.22083799955523 40.04788299968646, -83.21219599990948 40.04806900018966, -83.21101000005396 40.05945100013823, -83.21058699955631 40.06527700021039, -83.21028000030798 40.06907200019331, -83.21003300043577 40.07105400028213, -83.20952399972444 40.0751430001789, -83.20788400030744 40.09281599981198, -83.20681200025471 40.10576000030011, -83.20627300030445 40.10773300029098, -83.23366600020294 40.10817600024883, -83.23598900040855 40.10699299973952, -83.23381799964061 40.10437499982891, -83.23030100008185 40.10397400025535, -83.24852000005703 40.09509100009888, -83.25041999976503 40.09341899986172, -83.25163300028306 40.09342300009376, -83.25408899965973 40.09233399987223, -83.25637099985745 40.09067299981781, -83.25709499975564 40.09023500032411, -83.25886200029254 40.08971700005915, -83.2608669995825 40.08915500017686, -83.26105800027653 40.08909900026698, -83.26580800044481 40.08803400013301, -83.27688600027405 40.08874000019219, -83.28234100007391 40.08970899984637, -83.28301200026867 40.08770900030687, -83.29679099969697 40.08969799981, -83.30686199977083 40.09301099969459, -83.31079900035246 40.08662200003995, -83.31485200038672 40.08197200002431, -83.33441200002815 40.0629609998678))","Block Group 2, Census Tract 401.02, Madison County, Ohio",1306,1292,0,0,0,0,502,1306,0.9892802450229708,0.0,0.0,0.0,0.0,0.38437978560490044
39,049,008000,2,"POLYGON ((-83.25505100010761 40.04861399983259, -83.25564699995927 40.04552299974796, -83.25489499957368 40.04268199990599, -83.25247600000692 40.04058899994517, -83.25028800041886 40.03974499994374, -83.24549800006761 40.03934999995274, -83.2174280001266 40.02001599976823, -83.21207500043398 40.01449499982799, -83.20270700034192 40.00403899975219, -83.20203500032225 40.00214799986875, -83.2022069998514 39.99549899996282, -83.2019809998956 39.99402800010151, -83.20031399981612 39.99275400004645, -83.20049200009134 39.99190900011143, -83.20074700035947 39.98213899986973, -83.20018999996756 39.97942500011948, -83.19891000040069 39.97397400026221, -83.20287899987105 39.97394500022688, -83.20425999972026 39.9735599999449, -83.21181599996788 39.96986099965856, -83.21076300018173 39.96756299966899, -83.20834000041702 39.9635919999743, -83.20798300004164 39.96316099986055, -83.20327399988126 39.95920800028507, -83.17861300044228 39.96053999975061, -83.17832899986183 39.96516100025499, -83.17808500036267 39.96891300008282, -83.18137900033867 39.96924500005033, -83.18314299960423 39.97798100033984, -83.18405900002134 39.97892799992608, -83.17961299962667 39.97871700020382, -83.17753299999364 39.97862299992199, -83.17781699967576 39.97921900010541, -83.17836900004481 39.98102600002144, -83.17898300033814 39.98466199992498, -83.18155599989068 40.00037999985394, -83.18158000018012 40.00050199970242, -83.18200500032756 40.00270899993275, -83.18243200012483 40.00539699977949, -83.18263200014135 40.00668000009724, -83.18300600023518 40.00914200017326, -83.18305399991576 40.00945299998369, -83.18343100038261 40.01192399992244, -83.18405099962541 40.01598000032933, -83.18472400036828 40.0203400003366, -83.18588900030743 40.02785100002367, -83.18595100023171 40.0282489996741, -83.18677899988697 40.03353500032678, -83.18913200022979 40.03390499987218, -83.18956300022502 40.03397199986704, -83.19002900038035 40.03404500021769, -83.19464800012904 40.03476200002721, -83.19612199986469 40.0436320001886, -83.19682300019663 40.04745000007973, -83.20045500028142 40.0510759996712, -83.20569099979819 40.05691400029419, -83.20566300020909 40.05947600013612, -83.21101000005396 40.05945100013823, -83.21219599990948 40.04806900018966, -83.22083799955523 40.04788299968646, -83.25383000009197 40.04921799991069, -83.25505100010761 40.04861399983259))","Block Group 2, Census Tract 80, Franklin County, Ohio",1396,1272,16,0,91,0,487,1396,0.9111747851002865,0.011461318051575931,0.0,0.0651862464183381,0.0,0.34885386819484243
39,159,050601,1,"POLYGON ((-83.23173100033486 40.16099999992441, -83.22311399990518 40.15427599971164, -83.21703899996419 40.149507000089, -83.2032909995997 40.13874000019871, -83.19714200003885 40.13391500031445, -83.19190999982175 40.12982600024215, -83.19071399992045 40.12878900032339, -83.18995099966422 40.12803099969054, -83.18839300026299 40.12611300021341, -83.18741099972362 40.12458000029396, -83.1814039995547 40.11242699967884, -83.18080199985525 40.10995299967549, -83.18261200004989 40.11012200032783, -83.18360999958445 40.1100309999759, -83.18042299973858 40.10718099968422, -83.17858499995488 40.10714500005667, -83.17620099964991 40.10714399968505, -83.17643300035182 40.10941800016334, -83.1786910002601 40.12943400001527, -83.1789239998886 40.13120000009525, -83.1795309996109 40.13583499999119, -83.17955499990036 40.1359930000821, -83.1801490001022 40.13803600033642, -83.18391000005842 40.15096400028964, -83.18558399981059 40.16227799999277, -83.17536700014686 40.16313500020186, -83.175285999956 40.16326800033401, -83.17575200011133 40.16631099985359, -83.17045999961978 40.16683300027778, -83.17087399989654 40.18277500019849, -83.1710250004076 40.19057599968338, -83.17127700030268 40.19807699997298, -83.17186099956047 40.22230599973799, -83.19736499962161 40.19589100003613, -83.21881300017377 40.17377700023439, -83.21880899997581 40.17374499980799, -83.23173100033486 40.16099999992441))","Block Group 1, Census Tract 506.01, Union County, Ohio",2183,1408,103,0,648,0,672,2183,0.6449839670178653,0.047182775996335316,0.0,0.2968392120934494,0.0,0.3078332569857994
39,049,007953,4,"POLYGON ((-83.17898300033814 39.98466199992498, -83.17836900004481 39.98102600002144, -83.17781699967576 39.97921900010541, -83.17753299999364 39.97862299992199, -83.16109200042601 39.97784699978842, -83.16105499971778 39.97818999986881, -83.16075500014212 39.98171500003307, -83.15971499987646 39.98236200033517, -83.16509600005648 39.98284399972491, -83.16509799970629 39.98292199967495, -83.16515600033094 39.98495399987633, -83.16517399987428 39.98538199995401, -83.16706500025975 39.98533899997893, -83.16885199998983 39.98323299983463, -83.17148499981683 39.98420300011887, -83.17898300033814 39.98466199992498))","Block Group 4, Census Tract 79.53, Franklin County, Ohio",580,580,0,0,0,0,229,580,1.0,0.0,0.0,0.0,0.0,0.39482758620689656
39,049,007953,1,"POLYGON ((-83.16586599998541 40.00408600031435, -83.16606099997908 40.00049400002361, -83.16557200025754 39.99770600017587, -83.1586699995879 39.99749799970587, -83.15788999961323 39.99796600021651, -83.15996199974865 39.99867400022151, -83.16034000004042 40.00004199978947, -83.16269800040611 40.00186499985001, -83.16152199969801 40.00394300026027, -83.16286900011035 40.00399999980286, -83.16586599998541 40.00408600031435))","Block Group 1, Census Tract 79.53, Franklin County, Ohio",870,834,36,0,0,0,293,870,0.9586206896551724,0.041379310344827586,0.0,0.0,0.0,0.3367816091954023
39,049,007921,3,"POLYGON ((-83.17367800032609 40.05721699971041, -83.17336600015655 40.05520300009189, -83.17299299988764 40.05289399967746, -83.17188999987277 40.04618899992354, -83.1718420001922 40.0458870002, -83.17138199988466 40.04300700004455, -83.17126300005897 40.04226500015924, -83.16994499995894 40.03359500014777, -83.17012200040928 40.03294000033404, -83.16282999975229 40.02968099985403, -83.16124700023673 40.02993999973072, -83.16211599989985 40.03341800007698, -83.15976099990719 40.03538700009106, -83.16283999979804 40.03707799994166, -83.16377299993358 40.0428220001133, -83.15873900008319 40.04350699993041, -83.15859500014315 40.04196200029196, -83.15709399974502 40.04209700015402, -83.15876699967228 40.04773300017533, -83.15967999971636 40.05412699966333, -83.15982200000657 40.05519799991707, -83.15990700039539 40.05518600004598, -83.16428500011966 40.05455400018209, -83.1643780000061 40.05454899995961, -83.16502499991137 40.05457099969811, -83.16705600003893 40.05494300013907, -83.16887799992911 40.0553960002353, -83.16990399995107 40.05572700015627, -83.17219100017167 40.05706400022802, -83.17329699966126 40.05777399988101, -83.17367800032609 40.05721699971041))","Block Group 3, Census Tract 79.21, Franklin County, Ohio",4420,3446,511,0,229,0,1475,4420,0.7796380090497738,0.11561085972850679,0.0,0.051809954751131225,0.0,0.333710407239819
39,049,008141,2,"POLYGON ((-83.15762400037276 39.96166499977622, -83.15749200012827 39.96144199993959, -83.15759199968738 39.95845699990392, -83.15705399956204 39.95099199981616, -83.15473600027762 39.95109199967089, -83.15369400036214 39.95113399993814, -83.14889200031533 39.95135000031493, -83.14649499959157 39.95143000020487, -83.14603600000726 39.95301299967452, -83.14591700018157 39.95442899994517, -83.14498700041906 39.95758299987742, -83.14507299973448 39.95770499972623, -83.1459830003038 39.95907599969418, -83.14653700032268 39.96225700013688, -83.14669600033133 39.96224799967663, -83.14973000001632 39.96208600014043, -83.15762400037276 39.96166499977622))","Block Group 2, Census Tract 81.41, Franklin County, Ohio",2025,1726,140,0,94,0,829,2025,0.8523456790123457,0.0691358024691358,0.0,0.046419753086419754,0.0,0.4093827160493827
39,049,007933,2,"POLYGON ((-83.16014300039693 40.02228999972328, -83.15969200031023 40.01955599994521, -83.15904299985679 40.01823200018417, -83.15386900026431 40.01535800029152, -83.15333399961369 40.0139880000355, -83.15310000016029 40.01399899991354, -83.14746700008517 40.01618699988877, -83.14110199971596 40.01678400011671, -83.13991199966247 40.00898999989204, -83.13900000034161 40.00323200033731, -83.11838000034302 40.00246299995697, -83.11960800003136 40.01069400033132, -83.1196459996662 40.01090100009869, -83.1235320001942 40.01277999994974, -83.12856799969441 40.01535800029152, -83.13569899979463 40.01833999969912, -83.13583500023707 40.01842200021036, -83.13668999965648 40.0182719998716, -83.14043999974206 40.01945200005191, -83.14202099960781 40.02002399991116, -83.15054099995315 40.02400500000158, -83.14902899968436 40.02132200019471, -83.15292500025811 40.02104600031459, -83.15840000014947 40.0207849998496, -83.16014300039693 40.02228999972328))","Block Group 2, Census Tract 79.33, Franklin County, Ohio",2326,2089,21,13,114,0,1027,2326,0.8981083404987102,0.009028374892519347,0.005588993981083405,0.049011177987962166,0.0,0.441530524505589
39,041,011413,1,"POLYGON ((-83.13920600020595 40.1969259997791, -83.13838299967524 40.19406300015277, -83.1331980002121 40.18752099988798, -83.13069799955618 40.18269299986909, -83.12938600020226 40.18139999967568, -83.12598199972309 40.1811729996705, -83.11628499974306 40.18080899988791, -83.11613800032829 40.18316700008571, -83.11591300019739 40.18680900014849, -83.11590700034959 40.18690300028786, -83.11569300008937 40.19034299981686, -83.11531399997267 40.1966529998812, -83.11737500023744 40.19672600009223, -83.1181810001514 40.19675400033094, -83.12082099965109 40.196846999987, -83.1224340002022 40.19690199993018, -83.12414999978718 40.19696100014398, -83.12653400009215 40.19704600026871, -83.13418599970093 40.19729599997759, -83.13619599991209 40.19736799976673, -83.13920600020595 40.1969259997791))","Block Group 1, Census Tract 114.13, Delaware County, Ohio",1319,1319,0,0,0,0,518,1319,1.0,0.0,0.0,0.0,0.0,0.39272175890826383
39,049,008161,3,"POLYGON ((-83.15437999972717 39.89147999983211, -83.15462599977447 39.89135899987068, -83.15359700027776 39.89132500019053, -83.14038299984065 39.89090699966354, -83.12704899975294 39.89047999978294, -83.11981200024587 39.89279700017408, -83.11966800030582 39.89289999979955, -83.11943200030427 39.89867499978007, -83.1193789997025 39.899608000066, -83.1191669999904 39.9057189996752, -83.11910599989103 39.9104170002494, -83.11548100037726 39.91125500015004, -83.11278900010072 39.91191200016627, -83.1116829997128 39.91229599974643, -83.10898799996153 39.91326299974105, -83.11198400001169 39.91602599975813, -83.11858799985717 39.92209300013195, -83.12005200044537 39.92347399975863, -83.12074899968107 39.92413099967494, -83.12202999997118 39.92577500020136, -83.12291100022819 39.92710100020948, -83.12358599972256 39.92865199981742, -83.12398800030378 39.9301000000715, -83.12496999994482 39.93014200013744, -83.1335859996513 39.93051399969508, -83.1440829996975 39.92471399983158, -83.14387299963524 39.91123899988123, -83.14390899962025 39.90981299992977, -83.1454550002242 39.90591100020992, -83.14622099995519 39.90408299996754, -83.14634999982661 39.90377599987347, -83.14825000043292 39.9009470002941, -83.14805600026413 39.90092200011624, -83.15363900011054 39.89364699987941, -83.15437999972717 39.89147999983211))","Block Group 3, Census Tract 81.61, Franklin County, Ohio",3897,2938,897,0,0,0,1619,3897,0.7539132666153452,0.23017705927636645,0.0,0.0,0.0,0.41544778034385427
