geometry,start_time,search_time,add_service_time,add_census_time
POINT (-89.65749071743502 43.12558522013633),0:0:00,0.005404525523563083,0.0030438899993896484,0.007782936096191406
POINT (-89.58410468038977 42.9977144585),0:0:00,0.005658441310306247,0.003007650375366211,0.00106048583984375
POINT (-89.52480673380735 43.0440282770501),0:0:00,0.005281739955325778,0.0030813217163085938,0.0004825592041015625
POINT (-89.52461125108374 43.02680593102333),0:0:00,0.005285554652591403,0.0030012130737304688,0.0005445480346679688
POINT (-89.51016191651111 43.0479695906991),0:0:00,0.005008512263675388,0.003014802932739258,0.0005884170532226562
POINT (-89.51038685165236 43.05227107868227),0:0:00,0.0050478513292271454,0.0029993057250976562,0.0005860328674316406
POINT (-89.51219979010558 43.08965426447594),0:0:00,0.004919582133670505,0.0030362606048583984,0.0006327629089355469
POINT (-89.50976977139315 43.00914377567291),0:0:00,0.005249553447147067,0.0030107498168945312,0.0006611347198486328
POINT (-89.4953635682338 43.01195727825036),0:0:00,0.005062633281131442,0.0029981136322021484,0.0007803440093994141
POINT (-89.4973142482356 43.09199256436295),0:0:00,0.005230241542239841,0.0031502246856689453,0.0007309913635253906
POINT (-89.4774859410682 43.18415120577612),0:0:00,0.005341106181522067,0.0030820369720458984,0.0007688999176025391
POINT (-89.46881918649049 43.0285030071496),0:0:00,0.005261951213260349,0.003066539764404297,0.0007963180541992188
POINT (-89.45345719091792 43.05403277229356),0:0:00,0.005334430461307224,0.0031044483184814453,0.0008285045623779297
POINT (-89.44052407684273 43.07889856635633),0:0:00,0.005211644893069919,0.0030651092529296875,0.0008685588836669922
POINT (-89.45226690575925 43.1545956125109),0:0:00,0.005270772700687106,0.003075838088989258,0.0010144710540771484
POINT (-89.40326758863732 43.07052914423185),0:0:00,0.006044202571292575,0.0031096935272216797,0.000986337661743164
POINT (-89.39871420354886 43.04369277370223),0:0:00,0.005207591777225192,0.0031156539916992188,0.0010068416595458984
POINT (-89.39414320353737 43.07399132234011),0:0:00,0.005179458384891208,0.0031266212463378906,0.0010266304016113281
POINT (-89.40072080450352 42.9944021847071),0:0:00,0.004986100917239841,0.003075838088989258,0.0010519027709960938
POINT (-89.42013526535834 43.2536662672154),0:0:00,0.005160146479983981,0.003103494644165039,0.0011222362518310547
POINT (-89.35617002814111 43.24846771579416),0:0:00,0.005064302211185153,0.003130197525024414,0.0011534690856933594
POINT (-89.34395789169839 43.09151386269534),0:0:00,0.0049202973894078095,0.0031566619873046875,0.0011584758758544922
POINT (-89.34120620942817 43.06533035050953),0:0:00,0.005099111323733981,0.003168344497680664,0.0012054443359375
POINT (-89.34644821958011 43.22224882219497),0:0:00,0.005110078578372653,0.0031423568725585938,0.0012843608856201172
POINT (-89.34271288836683 43.20553479020682),0:0:00,0.0050745542100865204,0.0031423568725585938,0.0012998580932617188
POINT (-89.32475729628278 43.09924250604987),0:0:00,0.005092435603519138,0.00350189208984375,0.0013892650604248047
POINT (-89.32193010801609 43.11358399032245),0:0:00,0.005172544246097263,0.0033333301544189453,0.0013470649719238281
POINT (-89.34916993547874 43.16232612116375),0:0:00,0.005288415675540622,0.0034589767456054688,0.0013799667358398438
POINT (-89.3092231240533 43.10252708506197),0:0:00,0.005225234752078708,0.0034232139587402344,0.0014185905456542969
POINT (-89.30478226009474 43.14018318292585),0:0:00,0.005167775874515231,0.0034809112548828125,0.0014748573303222656
POINT (-89.30115533318055 43.08790430523557),0:0:00,0.00508361411609238,0.0031011104583740234,0.0015757083892822266
POINT (-89.30474489428785 43.11927989325641),0:0:00,0.005159431224246677,0.0031921863555908203,0.0015494823455810547
POINT (-89.31585834729916 42.9723982180408),0:0:00,0.005078607325931247,0.003184795379638672,0.001592397689819336
POINT (-89.29116916461297 43.08819284036899),0:0:00,0.0050402219346958954,0.0031735897064208984,0.0016193389892578125
POINT (-89.27617811533685 43.09443777448577),0:0:00,0.005090528254886325,0.003118276596069336,0.0016350746154785156
POINT (-89.25206529058502 43.16598526352872),0:0:00,0.0049951608232457,0.0031533241271972656,0.001651763916015625
POINT (-89.23502484732165 43.18232405011608),0:0:00,0.004825883632083591,0.003147602081298828,0.0017523765563964844
POINT (-89.24816371042867 43.19058514614002),0:0:00,0.005042129283328708,0.0031540393829345703,0.0017976760864257812
POINT (-89.21015308973881 43.17209370907372),0:0:00,0.005001359706302341,0.00310516357421875,0.0017817020416259766
POINT (-89.55780318544446 43.00469304934783),0:0:00,0.004833751445193942,0.003208160400390625,0.0018706321716308594
POINT (-89.55136610399407 43.03059404744165),0:0:00,0.005081706767459567,0.003153085708618164,0.001873016357421875
POINT (-89.57121064042052 43.08172733998568),0:0:00,0.004722409968753513,0.0031125545501708984,0.008041858673095703
POINT (-89.52465909289037 42.97080432046756),0:0:00,0.004806810145755466,0.0030641555786132812,0.0020055770874023438
POINT (-89.51125809928963 43.05733812245219),0:0:00,0.0050821836046177704,0.003087759017944336,0.0019867420196533203
POINT (-89.49868505259711 43.04245656062503),0:0:00,0.004975133662601169,0.003063678741455078,0.0020651817321777344
POINT (-89.47999479228977 43.01993540928788),0:0:00,0.004897886042972263,0.0030975341796875,0.0021104812622070312
POINT (-89.45187321207838 43.04200661957658),0:0:00,0.004931503062625583,0.003080129623413086,0.002165079116821289
POINT (-89.45284565448232 43.07915659911248),0:0:00,0.004711919551273044,0.0030608177185058594,0.002125978469848633
POINT (-89.44486999653252 42.99021863686018),0:0:00,0.0049355561784703095,0.003102540969848633,0.0022385120391845703
POINT (-89.42902911037623 43.05998853220132),0:0:00,0.0049241120866734345,0.0030825138092041016,0.002295970916748047
POINT (-89.41512198321931 43.03062558863945),0:0:00,0.004978233104129489,0.0030813217163085938,0.002275705337524414
POINT (-89.39500349336612 43.07664843837969),0:0:00,0.004994683986087497,0.0034050941467285156,0.0022640228271484375
POINT (-89.39735203835903 43.06444711267117),0:0:00,0.005031162028690036,0.0030684471130371094,0.002309560775756836
POINT (-89.38734526371564 43.07418080391015),0:0:00,0.005046897654910739,0.0030922889709472656,0.002656221389770508
POINT (-89.38230221541342 43.07916190274393),0:0:00,0.005108409648318942,0.003182649612426758,0.0023224353790283203
POINT (-89.38490786075492 43.03451930093453),0:0:00,0.005100064998050388,0.003067493438720703,0.002310514450073242
POINT (-89.40210464100423 42.95305951933356),0:0:00,0.004937463527103122,0.0030803680419921875,0.002368927001953125
POINT (-89.37191810587368 43.11290346612304),0:0:00,0.004828506236453708,0.003122091293334961,0.0024673938751220703
POINT (-89.35529900479308 43.09314986360616),0:0:00,0.005084567790408786,0.003071308135986328,0.0024521350860595703
POINT (-89.35324750408614 43.10227672576114),0:0:00,0.0049622590593296845,0.0031032562255859375,0.0024771690368652344
POINT (-89.36347553235204 42.90465083706781),0:0:00,0.005545192485233005,0.0030617713928222656,0.002543210983276367
POINT (-89.34665611203 43.10464303703347),0:0:00,0.005332999949832614,0.003096342086791992,0.0027153491973876953
POINT (-89.31784649967223 43.09264114948733),0:0:00,0.004979425197024997,0.0030879974365234375,0.0026025772094726562
POINT (-89.31774992148978 43.06030609263263),0:0:00,0.005064779048343356,0.0030748844146728516,0.002618074417114258
POINT (-89.24437307713967 43.20124035629347),0:0:00,0.004983478312869724,0.0031523704528808594,0.0026922225952148438
POINT (-89.23315592829472 43.21344261086789),0:0:00,0.004904561763187106,0.0030896663665771484,0.0027794837951660156
POINT (-89.1838364514945 43.08903698157069),0:0:00,0.004859500651736911,0.003086566925048828,0.0027341842651367188
POINT (-89.16289717021935 43.06197758317929),0:0:00,0.005030446772952731,0.003098011016845703,0.002765178680419922
POINT (-89.66746014717977 43.18489833098401),0:0:00,0.004783921962161716,0.0030655860900878906,0.0029785633087158203
POINT (-89.55678461138665 42.99396298464499),0:0:00,0.005037360911746677,0.0030777454376220703,0.002959012985229492
POINT (-89.54246561176792 42.99567294994188),0:0:00,0.00504856658496445,0.003109455108642578,0.0028786659240722656
POINT (-89.55352074185518 42.97318040637071),0:0:00,0.0050020749620396454,0.0030753612518310547,0.0029752254486083984
POINT (-89.51930428847504 43.06576513422576),0:0:00,0.0047295625261265595,0.003058195114135742,0.0030100345611572266
POINT (-89.56604648241176 43.15600696201212),0:0:00,0.004988485103030856,0.0030236244201660156,0.0029773712158203125
