geometry,start_time,map_identifier,banks,clinics,dentists,hospitals,supermarket,STATE,COUNTY,TRACT,BLKGRP,NAME,B02001_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B25044_001E,Tot Pop,% White alone,% Black or African American alone,% American Indian and Alaska Native alone,% Asian alone alone,% Native Hawaiian and Other Pacific Islander alone,cars per capita
"POLYGON ((-89.68980799994183 43.11966599982823, -89.68980299991897 43.11882299972233, -89.68975000021553 43.11212299978349, -89.68849800023774 43.11190300021956, -89.67975799978439 43.11176100022411, -89.67951400028524 43.10749999982109, -89.67916799978052 43.10712099979095, -89.67867099966305 43.10673999971425, -89.67847499984447 43.10630799983111, -89.67864700027191 43.1056969999302, -89.67914699986412 43.10445200021395, -89.67967599976863 43.10328800011031, -89.68157100035205 43.09898800012681, -89.68148199976528 43.09713200029761, -89.68336899995278 43.09450700032007, -89.68248600004594 43.09410900010746, -89.68106500001377 43.09708899969947, -89.67508399978409 43.09707499981854, -89.67122400009367 43.09629599976067, -89.6667550001328 43.09534600008548, -89.65997899985985 43.09508900002211, -89.6553349999968 43.09699200013083, -89.65041800032226 43.09709700028593, -89.64925000001004 43.1044929998355, -89.64681200017672 43.10750300026878, -89.6457259998803 43.11071699998851, -89.64565599956009 43.11094199969038, -89.64051100027993 43.11297500026709, -89.64043000008907 43.11877000028353, -89.6391010001184 43.12103200017781, -89.63628099979535 43.12293399980931, -89.63571099988293 43.12456799990562, -89.63539299986563 43.12510599990455, -89.63181299965937 43.12680000023377, -89.63097199958533 43.12697099977657, -89.62936800015336 43.12595099968122, -89.62772199999026 43.12589200011308, -89.62663099967098 43.12730900009296, -89.62716999962122 43.12908699973851, -89.62576200000782 43.13287799968967, -89.62854899982061 43.13470299992959, -89.63022699977074 43.13678499991673, -89.62999999999002 43.13890000026559, -89.63080500007906 43.14300600024779, -89.63044299968081 43.14739099971938, -89.62018300035939 43.14761799986587, -89.62033800017011 43.15121300023925, -89.62028999959119 43.15859000010909, -89.63085299975965 43.15828300021899, -89.63853200003092 43.15471299975705, -89.64060599981616 43.1535059999848, -89.64300900038772 43.15017000025652, -89.64463200008626 43.14865799974548, -89.64857299996753 43.14315900030353, -89.65159199958391 43.14240999994407, -89.65324699996782 43.13998700009923, -89.65602100026013 43.13757100016125, -89.65728300028367 43.13906299972105, -89.66278800031226 43.14128200007167, -89.66457400021743 43.14274300031538, -89.66523000034354 43.14406799991072, -89.67095600030507 43.14409999997218, -89.67699000023818 43.14372200006058, -89.67786700029724 43.14351700003446, -89.68499300037455 43.14348400010671, -89.68491899985641 43.13403300008709, -89.68443799963246 43.13163999985805, -89.6850660001695 43.12841900026828, -89.6850669999944 43.12276400002785, -89.68545600015683 43.12241699970964, -89.68843499959024 43.12183099982851, -89.68980799994183 43.11966599982823))",0:0:00,search-result-0-0!0,0.0,0.0,0.0,0.0,0.0,55.0,25.0,13000.0,1.0,"Block Group 1, Census Tract 130, Dane County, Wisconsin",2730.0,2568.0,9.0,0.0,40.0,0.0,1045.0,2730.0,0.9406593406593406,0.0032967032967032,0.0,0.0146520146520146,0.0,0.3827838827838827
"POLYGON ((-89.60231500001349 42.98794000007241, -89.6029429996522 42.94441500025179, -89.54399599986593 42.94383199998825, -89.54429999963953 42.94479999979351, -89.54416800029337 42.95111200010103, -89.54441099996762 42.95262699988845, -89.54850599983467 42.95606200005284, -89.54862100036073 42.95844399992947, -89.57343599978549 42.95869499976365, -89.57314600025558 42.97275499972316, -89.57425500011823 42.97847299978677, -89.57789200022587 42.98057500001332, -89.57777900024797 42.98387600018333, -89.57535899995801 42.98451200023625, -89.5751549997435 42.9868830002408, -89.57208699972333 42.98678900020192, -89.57206499998202 42.98699000004719, -89.57263900009238 42.98756400026303, -89.57268099992517 42.99094500027093, -89.57260599958209 42.99104200010443, -89.57256799994727 42.99109799989112, -89.57254799985577 42.991111000245, -89.57254799985577 42.99112600009393, -89.57294600023904 42.99269599973602, -89.57505099998642 42.99478899972271, -89.5774009999562 42.99699400009192, -89.57782600010366 42.99745699983572, -89.57805700008234 42.99834199970952, -89.57807299997586 43.00931100007744, -89.57808999969428 43.01171400007861, -89.57293600019328 43.01293299970889, -89.56795300039651 43.01300599977077, -89.56301200043254 43.01305200007116, -89.56293500043964 43.01935899996351, -89.56776400025063 43.02055099989535, -89.56949099970625 43.02157600012221, -89.57274500039759 43.02499699979556, -89.574773999977 43.0276370001237, -89.57806499957995 43.03106500015402, -89.57167400016976 43.03110600029917, -89.56754800034057 43.03111499973475, -89.56738500013394 43.03477099976428, -89.56733900010319 43.03582099976385, -89.56721799972937 43.03839499981263, -89.56706100026885 43.04203800003569, -89.56689100038953 43.0456460000788, -89.57182700033064 43.04560200025955, -89.57166300029911 43.06020800008511, -89.60091200042297 43.06022300012461, -89.60096599995134 43.05285399985155, -89.60156099997808 43.03116399984901, -89.60156699982585 43.03109500003869, -89.60190099973671 43.01706399989271, -89.60231500001349 42.98794000007241))",0:0:00,search-result-0-0!1,0.0,0.0,0.0,0.0,0.0,55.0,25.0,10904.0,1.0,"Block Group 1, Census Tract 109.04, Dane County, Wisconsin",2037.0,1893.0,0.0,10.0,81.0,0.0,702.0,2037.0,0.9293078055964654,0.0,0.0049091801669121,0.0397643593519882,0.0,0.3446244477172312
"POLYGON ((-89.5330390004105 43.03408800022495, -89.53313499977166 43.03133700006021, -89.5309849998184 43.03135899983577, -89.52771500013188 43.03138599999725, -89.52387100033498 43.03142900008399, -89.51898399989935 43.03157999985982, -89.51848500013206 43.03158500023738, -89.51847400026141 43.03185899995103, -89.51845800036789 43.03222399983357, -89.51837200015416 43.03494799973996, -89.51817100031271 43.03877199971778, -89.51804800028906 43.04207999997615, -89.51797799996886 43.0449279998595, -89.51790500017394 43.04702899976756, -89.51780899991446 43.04970000007612, -89.51777299992945 43.05196299998515, -89.51772000022601 43.0552210002629, -89.51872399960835 43.05583900001842, -89.52003500003568 43.05685999973927, -89.52153300006076 43.05850699976062, -89.52258300037218 43.06048599969629, -89.52499299971809 43.06042599977356, -89.52753900040477 43.06040500018052, -89.5274709997344 43.0550799997966, -89.52769400021548 43.05280299987471, -89.52914600020979 43.04999399975438, -89.53221099985693 43.04580200019833, -89.5327239998679 43.04456899988097, -89.53289399974722 43.03859900011157, -89.5330390004105 43.03408800022495))",0:0:00,search-result-0-0!2,0.0,0.0,0.0,0.0,0.0,55.0,25.0,406.0,1.0,"Block Group 1, Census Tract 4.06, Dane County, Wisconsin",3385.0,2788.0,32.0,0.0,438.0,0.0,1788.0,3385.0,0.8236336779911374,0.0094534711964549,0.0,0.1293943870014771,0.0,0.5282127031019203
"POLYGON ((-89.53338500001689 43.02483299980272, -89.53351300006342 43.01608400020359, -89.53309200011394 43.01607499987798, -89.53286899963285 43.01667999971192, -89.52849299955841 43.02055799971142, -89.52721800001441 43.02165799992654, -89.52367299996826 43.02315300011258, -89.52257900017423 43.02374300005801, -89.50841499988313 43.030424000122, -89.50856899986891 43.03163700020039, -89.5096309998759 43.03161499986788, -89.51431599974684 43.03156199981038, -89.51761899994366 43.03151099986052, -89.51848500013206 43.03158500023738, -89.51898399989935 43.03157999985982, -89.52387100033498 43.03142900008399, -89.52771500013188 43.03138599999725, -89.5309849998184 43.03135899983577, -89.53313499977166 43.03133700006021, -89.53315599968805 43.0307499998234, -89.53338500001689 43.02483299980272))",0:0:00,search-result-0-0!3,0.0,0.0,0.0,0.0,0.0,55.0,25.0,504.0,4.0,"Block Group 4, Census Tract 5.04, Dane County, Wisconsin",1408.0,1263.0,0.0,0.0,129.0,0.0,572.0,1408.0,0.8970170454545454,0.0,0.0,0.0916193181818181,0.0,0.40625
"POLYGON ((-89.51780899991446 43.04970000007612, -89.51790500017394 43.04702899976756, -89.51533000007325 43.04704799969898, -89.51443000044797 43.0458990000684, -89.50871700000692 43.04455200022306, -89.5060540000427 43.04456999974484, -89.50427900000818 43.04335899968225, -89.50338199985764 43.04456100031285, -89.50322899969674 43.04621300026766, -89.50317500016841 43.04791999975592, -89.50314500003118 43.05014900020302, -89.51002599988611 43.05052800028127, -89.51777299992945 43.05196299998515, -89.51780899991446 43.04970000007612))",0:0:00,search-result-0-0!4,0.0,0.0,0.0,0.0,0.0,55.0,25.0,405.0,3.0,"Block Group 3, Census Tract 4.05, Dane County, Wisconsin",2050.0,1403.0,133.0,0.0,380.0,0.0,1075.0,2050.0,0.6843902439024391,0.0648780487804878,0.0,0.1853658536585365,0.0,0.524390243902439
"POLYGON ((-89.51772000022601 43.0552210002629, -89.51777299992945 43.05196299998515, -89.51002599988611 43.05052800028127, -89.50314500003118 43.05014900020302, -89.50313300033561 43.05224100021739, -89.50309200032773 43.05309199983905, -89.50309200032773 43.0533180002796, -89.51001500001546 43.05328899982233, -89.51325499956477 43.05374699998667, -89.51772000022601 43.0552210002629))",0:0:00,search-result-0-0!5,0.0,0.0,0.0,0.0,0.0,55.0,25.0,405.0,2.0,"Block Group 2, Census Tract 4.05, Dane County, Wisconsin",1052.0,832.0,41.0,41.0,103.0,0.0,499.0,1052.0,0.7908745247148289,0.0389733840304182,0.0389733840304182,0.0979087452471483,0.0,0.4743346007604562
"POLYGON ((-89.52137099967906 43.08834599969409, -89.52146000026583 43.08698799993673, -89.52109799986758 43.08383799993071, -89.51992700008066 43.08382000012511, -89.51410999988252 43.08455300028872, -89.5120660002345 43.08595599983902, -89.50215800036726 43.08618199985078, -89.50113599964494 43.08978099989505, -89.50194300028211 43.09182299972209, -89.50852000036343 43.09451900006547, -89.51792500026542 43.09535400024371, -89.51962699960669 43.09306799975651, -89.52089700002612 43.09011799986994, -89.52137099967906 43.08834599969409))",0:0:00,search-result-0-0!6,0.0,0.0,0.0,0.0,0.0,55.0,25.0,11000.0,2.0,"Block Group 2, Census Tract 110, Dane County, Wisconsin",2334.0,1988.0,54.0,0.0,77.0,0.0,1038.0,2334.0,0.8517566409597258,0.0231362467866323,0.0,0.0329905741216795,0.0,0.4447300771208226
"POLYGON ((-89.52352800020331 43.01516499991621, -89.5236060000211 43.00875200014139, -89.52255999990764 43.0087349997581, -89.51660700016538 43.00865100019083, -89.5167419998846 43.00144299974661, -89.51210600041748 43.00140200015756, -89.51060099982138 43.00138299989008, -89.51044600001069 43.00138100006905, -89.50416000018251 43.00132900010049, -89.50106100020018 43.00130799998698, -89.50065199994627 43.00130299977123, -89.5004920001127 43.00124700008591, -89.50043799968603 43.00121399967258, -89.49962799957412 43.00080899996519, -89.49864799958289 43.00113499990521, -89.49904400031633 43.00567999981361, -89.49900400013335 43.0073929997483, -89.49900199958522 43.00848999993276, -89.49900199958522 43.00856500026457, -89.49887400043701 43.01570100014007, -89.51144299972033 43.01578600025068, -89.52236400008906 43.01596699980821, -89.52352800020331 43.01516499991621))",0:0:00,search-result-0-0!7,0.0,0.0,0.0,0.0,0.0,55.0,25.0,10800.0,5.0,"Block Group 5, Census Tract 108, Dane County, Wisconsin",4533.0,3746.0,182.0,0.0,367.0,15.0,1927.0,4533.0,0.8263842929627179,0.0401500110302228,0.0,0.0809618354290756,0.0033090668431502,0.4251047871166997
"POLYGON ((-89.49900199958522 43.00848999993276, -89.49900400013335 43.0073929997483, -89.49367300018204 43.00767100025494, -89.49280699999363 43.01049400013849, -89.49094200044576 43.012079999933, -89.49081199985109 43.01571599989771, -89.49887400043701 43.01570100014007, -89.49900199958522 43.00856500026457, -89.49900199958522 43.00848999993276))",0:0:00,search-result-0-0!8,0.0,0.0,0.0,0.0,0.0,55.0,25.0,10702.0,4.0,"Block Group 4, Census Tract 107.02, Dane County, Wisconsin",1080.0,874.0,183.0,0.0,16.0,0.0,392.0,1080.0,0.8092592592592592,0.1694444444444444,0.0,0.0148148148148148,0.0,0.362962962962963
"POLYGON ((-89.5166570003941 43.09683100006806, -89.51792500026542 43.09535400024371, -89.50852000036343 43.09451900006547, -89.50194300028211 43.09182299972209, -89.48986500037014 43.08607100029175, -89.48818200039715 43.08500699971069, -89.48083799986163 43.08030099985774, -89.48124399974249 43.08105300002651, -89.48532000024129 43.08641199969174, -89.48722499997214 43.08761300030462, -89.48776999977019 43.08791900029646, -89.48589400035166 43.08967600031628, -89.4860030001316 43.08974199982882, -89.48879199959418 43.09162999990107, -89.49572500022597 43.09651899999225, -89.49663400007209 43.096919000273, -89.50183500032708 43.09707899978486, -89.5166570003941 43.09683100006806))",0:0:00,search-result-0-0!9,0.0,0.0,0.0,0.0,0.0,55.0,25.0,11000.0,1.0,"Block Group 1, Census Tract 110, Dane County, Wisconsin",1787.0,1675.0,71.0,0.0,15.0,0.0,878.0,1787.0,0.9373251259093452,0.0397313933967543,0.0,0.0083939563514269,0.0,0.4913262451035254
